dataset,repetition,fold,method,log_likelihood,mean_heldout_density,is_fallback
PctKids2Par,2,5,BETA_LSCV,-3.564296073320482,1.407070500767623,False
PctKids2Par,2,5,LOGIT_SILV,-3.5215847336600663,1.3474514552713244,False
PctKids2Par,2,5,LOGIT_LSCV,-3.5582499023395355,1.4169887615980472,False
PctKids2Par,2,5,REFLECT_SILV,-0.09822321762363874,1.4137423178257964,False
PctKids2Par,2,5,REFLECT_LSCV,-0.0991906139830075,1.415127017205225,False
PctKids2Par,2,6,BETA_ROT,-3.6236983751466374,1.3433568411524688,False
PctKids2Par,2,6,BETA_LSCV,-3.625461594852542,1.3532096089595267,False
PctKids2Par,2,6,LOGIT_SILV,-3.5689849176080175,1.2803367390701088,False
PctKids2Par,2,6,LOGIT_LSCV,-3.6167157070982037,1.355916049603859,False
PctKids2Par,2,6,REFLECT_SILV,-0.15111236069838616,1.3611611455066792,False
PctKids2Par,2,6,REFLECT_LSCV,-0.15927556867855933,1.3680003806810426,False
PctKids2Par,2,7,BETA_ROT,-7.083557589345156,1.378542854563956,False
PctKids2Par,2,7,BETA_LSCV,-7.087596388648308,1.3888022008501046,False
PctKids2Par,2,7,LOGIT_SILV,-7.037889600822343,1.300365217159652,False
PctKids2Par,2,7,LOGIT_LSCV,-7.0814148519015765,1.3916250302399604,False
PctKids2Par,2,7,REFLECT_SILV,-0.15101557013633235,1.3992553778958587,False
PctKids2Par,2,7,REFLECT_LSCV,-0.15050900795066638,1.3984522892420252,False
PctKids2Par,2,8,BETA_ROT,-10.533082744255685,1.3792110425847266,False
PctKids2Par,2,8,BETA_LSCV,-10.534055791777657,1.3909889360369525,False
PctKids2Par,2,8,LOGIT_SILV,-10.492469153470875,1.3342585802767029,False
PctKids2Par,2,8,LOGIT_LSCV,-10.528304203990997,1.3995145968693725,False
PctKids2Par,2,8,REFLECT_SILV,-0.14248230476930773,1.3986830738985643,False
PctKids2Par,2,8,REFLECT_LSCV,-0.14191689904091778,1.3965006742923463,False
PctKids2Par,2,9,BETA_ROT,-0.12802573262063913,1.426751222042121,False
PctKids2Par,2,9,BETA_LSCV,-0.1297122869448446,1.4381088211364872,False
PctKids2Par,2,9,LOGIT_SILV,-0.07777424487420914,1.3402814962375844,False
PctKids2Par,2,9,LOGIT_LSCV,-0.1242988624870959,1.4427681066068803,False
PctKids2Par,2,9,REFLECT_SILV,-0.12510613143907506,1.4436146434528239,False
PctKids2Par,2,9,REFLECT_LSCV,-0.12592651181593564,1.4445624877961507,False
PctKids2Par,2,10,BETA_ROT,-10.553523990077386,1.3646154602067344,False
PctKids2Par,2,10,BETA_LSCV,-10.559309324224069,1.3736421815213085,False
PctKids2Par,2,10,LOGIT_SILV,-10.504783941600973,1.3036209178965346,False
PctKids2Par,2,10,LOGIT_LSCV,-10.571206192704496,1.3792569554721315,False
PctKids2Par,2,10,REFLECT_SILV,-0.15905762043360597,1.384418667669984,False
PctKids2Par,2,10,REFLECT_LSCV,-0.15910689370566652,1.384486349056958,False
PctKids2Par,3,1,BETA_ROT,-3.650050464033925,1.317876241927545,False
PctKids2Par,3,1,BETA_LSCV,-3.651847149626859,1.3270094572031796,False
PctKids2Par,3,1,LOGIT_SILV,-3.5835086742832996,1.2827741465281155,False
PctKids2Par,3,1,LOGIT_LSCV,-3.6463170640501255,1.3372006559045833,False
PctKids2Par,3,1,REFLECT_SILV,-0.19363768159008593,1.3328802414428487,False
PctKids2Par,3,1,REFLECT_LSCV,-0.19283873123832657,1.3322339070701341,False
PctKids2Par,3,2,BETA_ROT,-6.990589148414683,1.4176504232764382,False
PctKids2Par,3,2,BETA_LSCV,-6.992077808204814,1.4293342432371614,False
PctKids2Par,3,2,LOGIT_SILV,-6.958231789072125,1.3497771665046856,False
PctKids2Par,3,2,LOGIT_LSCV,-6.98704982659865,1.4353070097149458,False
PctKids2Par,3,2,REFLECT_SILV,-0.10070147036695727,1.4356869974951878,False
PctKids2Par,3,2,REFLECT_LSCV,-0.10058871418057595,1.4347933928065988,False
PctKids2Par,3,3,BETA_ROT,-10.545306899101671,1.321346582274855,False
PctKids2Par,3,3,BETA_LSCV,-10.54801846897544,1.330547683754326,False
PctKids2Par,3,3,LOGIT_SILV,-10.48485312280942,1.2742487248255912,False
PctKids2Par,3,3,LOGIT_LSCV,-10.54095159015373,1.3355636759160212,False
PctKids2Par,3,3,REFLECT_SILV,-0.20856881958266732,1.3383231428497555,False
PctKids2Par,3,3,REFLECT_LSCV,-0.20810764016842279,1.3370609537334317,False
PctKids2Par,3,4,BETA_ROT,-3.5674603688485265,1.386465393735587,False
PctKids2Par,3,4,BETA_LSCV,-3.570305228409835,1.3971756918319769,False
PctKids2Par,3,4,LOGIT_SILV,-3.5219504102574986,1.3199711876190485,False
PctKids2Par,3,4,LOGIT_LSCV,-3.5642663889013972,1.4032504823653733,False
PctKids2Par,3,4,REFLECT_SILV,-0.11646576760947173,1.405564794726131,False
PctKids2Par,3,4,REFLECT_LSCV,-0.11659657577932571,1.405818135182423,False
PctKids2Par,3,5,BETA_ROT,-7.060602074535131,1.3930851167356173,False
PctKids2Par,3,5,BETA_LSCV,-7.061257368281454,1.4036861566024772,False
PctKids2Par,3,5,LOGIT_SILV,-7.014895266681155,1.3302694321371171,False
PctKids2Par,3,5,LOGIT_LSCV,-7.053600916186414,1.4109315423060507,False
PctKids2Par,3,5,REFLECT_SILV,-0.1273609444991682,1.4111590950907487,False
PctKids2Par,3,5,REFLECT_LSCV,-0.127384295927097,1.4112126292585678,False
PctKids2Par,3,6,BETA_ROT,-7.0496993453933525,1.4051818966863983,False
PctKids2Par,3,6,BETA_LSCV,-7.05272676941196,1.4154989607446673,False
PctKids2Par,3,6,LOGIT_SILV,-7.006212293782855,1.338857833813197,False
PctKids2Par,3,6,LOGIT_LSCV,-7.048540756135888,1.4226874729962538,False
PctKids2Par,3,6,REFLECT_SILV,-0.12724348481783362,1.4212637547768059,False
